1 1:-0.218000 2:-0.062143 3:-0.035000
0 1:-0.010000 2:0.004286 3:0.017000
0 1:0.030000 2:0.130000 3:0.177000
1 1:-0.124000 2:0.030000 3:0.000500
1 1:-0.036000 2:-0.003571 3:-0.002500
1 1:0.022000 2:-0.008571 3:0.028000
1 1:-0.070000 2:0.008571 3:0.012500
0 1:0.034000 2:0.061429 3:0.030000
1 1:-0.004000 2:-0.017857 3:-0.012500
1 1:0.230000 2:0.115000 3:0.130500
1 1:0.098000 2:0.057143 3:0.033500
1 1:-0.000000 2:-0.003571 3:-0.005500
0 1:-0.006000 2:0.002143 3:-0.001500
1 1:0.000000 2:0.022143 3:0.031500
1 1:-0.030000 2:0.072143 3:0.008000
1 1:0.192000 2:0.031429 3:0.032500
0 1:-0.002000 2:0.038571 3:0.026500
1 1:0.000000 2:-0.037143 3:-0.032500
1 1:0.000000 2:-0.007143 3:-0.003000
1 1:0.022000 2:-0.027143 3:-0.011000
0 1:-0.060000 2:0.004286 3:-0.011000
1 1:-0.126000 2:-0.024286 3:-0.126000
1 1:0.022000 2:-0.002143 3:-0.003500
0 1:-0.056000 2:-0.045000 3:-0.013000
1 1:-0.036000 2:-0.026429 3:-0.004000
0 1:-0.142000 2:0.005714 3:-0.015000
1 1:0.024000 2:0.012143 3:0.025000
1 1:-0.012000 2:-0.015714 3:-0.006500
0 1:-0.164000 2:-0.087143 3:-0.046500
0 1:0.000000 2:-0.028571 3:-0.037500
0 1:0.042000 2:0.060714 3:0.019000
1 1:-0.026000 2:0.000714 3:-0.009500
1 1:-0.028000 2:-0.052143 3:-0.036500
1 1:0.070000 2:0.086429 3:0.079000
1 1:-0.018000 2:-0.005714 3:-0.002500
0 1:0.080000 2:0.075000 3:0.046000
1 1:0.084000 2:0.007857 3:-0.002500
0 1:-0.020000 2:-0.010000 3:-0.007000
1 1:0.142000 2:-0.005714 3:0.043000
1 1:-0.144000 2:-0.222857 3:-0.158500
1 1:-0.016000 2:-0.005714 3:-0.008000
0 1:0.004000 2:-0.045000 3:-0.028000
0 1:0.032000 2:0.022143 3:0.008500
0 1:0.006000 2:-0.085714 3:-0.052500
0 1:0.018000 2:0.004286 3:-0.012000
0 1:0.042000 2:-0.007143 3:-0.045000
0 1:0.002000 2:-0.003571 3:0.012500
1 1:-0.006000 2:0.002857 3:0.002000
1 1:0.008000 2:0.062857 3:0.037500
1 1:-0.016000 2:0.035714 3:0.027500
1 1:0.118000 2:-0.006429 3:-0.016000
0 1:0.004000 2:0.000000 3:0.002000
1 1:0.100000 2:-0.032143 3:-0.015500
0 1:0.014000 2:0.036429 3:0.019000
0 1:0.052000 2:0.012857 3:-0.004000
1 1:0.002000 2:0.002143 3:-0.001500
1 1:-0.008000 2:-0.003571 3:-0.007000
1 1:0.008000 2:0.007143 3:0.005500
1 1:-0.016000 2:-0.015714 3:-0.008500
0 1:-0.018000 2:-0.010000 3:-0.007500
0 1:0.008000 2:0.006429 3:0.007000
0 1:0.056000 2:0.017857 3:0.016000
1 1:-0.148000 2:-0.169286 3:-0.146500
