symbol,percent,error
600288,0.000000,0.020986
600289,-0.004124,0.024912
600290,0.014869,0.010030
600291,0.000000,0.025283
600292,0.000000,0.029993
600293,-0.028938,0.024793
600295,0.000297,0.017235
600297,0.000000,0.024874
600298,0.000000,0.015255
600299,0.000000,0.033793
600300,0.000000,0.011878
600301,0.000000,0.016000
600302,0.000000,0.017696
600303,0.022502,0.013048
600305,-0.007452,0.011878
600306,0.000000,0.022441
600307,0.007927,0.011649
600308,0.004704,0.010353
600309,0.003890,0.027296
600310,0.000000,0.010509
600311,0.051560,0.016261
600312,0.034031,0.012642
600313,0.000000,0.015641
600315,0.000000,0.007688
600316,0.000000,0.013401
600317,0.010196,0.065766
600319,0.000000,0.012372
600320,0.009797,0.012562
600321,0.000000,0.013835
600323,0.000000,0.024171
600325,0.000000,0.041860
600326,0.010103,0.016132
600327,0.000000,0.010638
600328,0.000000,0.018030
600329,0.000000,0.010012
600330,0.005750,0.015882
600331,0.031620,0.029606
600332,0.000000,0.018139
600333,0.000000,0.016331
600335,0.000000,0.020249
600336,0.024972,0.047859
600337,0.000000,0.025608
600338,0.008126,0.058777
600339,0.010056,0.018219
600340,0.068054,0.029784
600343,0.000000,0.027742
600345,0.000000,0.014755
600346,0.000000,0.011944
600348,0.082068,0.022938
600350,0.020329,0.044494
600351,0.000000,0.021533
600352,0.018275,0.055230
600353,0.010363,0.048230
600354,0.000000,0.026762
600355,0.000000,0.017343
600356,0.019520,0.023399
600358,0.005205,0.024633
600359,0.025743,0.064703
600360,0.000000,0.013060
600361,0.000000,0.036529
600362,0.039164,0.041629
600363,0.017508,0.024242
600365,0.000000,0.063765
600366,0.043390,0.017895
600367,0.019761,0.020212
600368,0.021647,0.025067
600369,0.005705,0.069924
600370,0.000000,0.021826
600371,0.025937,0.013967
600373,0.028332,0.013781
600375,0.013284,0.012658
600376,0.003790,0.035983
600377,0.000000,0.021831
600378,0.033412,0.011901
600379,0.000000,0.033349
600380,0.000000,0.014589
600381,0.027563,0.010381
600382,0.019826,0.025168
600383,0.025581,0.038775
600385,0.000000,0.014773
600386,0.000000,0.019306
600387,0.056361,0.022642
600388,0.000000,0.013000
600389,0.012481,0.033674
600390,0.014073,0.016945
600391,0.006336,0.019925
600392,-0.009817,0.058386
600393,0.000000,0.027815
600395,0.048872,0.020684
600396,0.000000,0.020746
600397,0.030804,0.018044
600398,0.000000,0.014801
600399,0.033285,0.026311
600400,0.000000,0.010648
600403,0.000000,0.038598
600405,0.000000,0.010175
600406,0.017866,0.017261
600408,0.030718,0.048682
600409,0.015110,0.011703
600410,0.000000,0.014779
600415,0.011388,0.021242
600416,0.002649,0.014817
600418,0.007865,0.067014
600419,-0.009821,0.017178
600420,0.000000,0.038819
600421,0.000000,0.014598
600422,0.000000,0.017543
600423,0.000000,0.024385
600425,0.015623,0.016779
600426,0.000000,0.018672
600428,0.000000,0.032167
600429,0.000000,0.016717
600432,0.015020,0.052138
600433,0.007689,0.011603
600435,0.000000,0.024577
600436,0.000000,0.010972
600438,0.000000,0.052774
600439,0.000000,0.037643
600444,0.000000,0.040434
600446,0.000000,0.031602
600448,-0.002872,0.009859
600449,0.006410,0.033332
600452,0.000000,0.027855
600455,0.000000,0.020155
600456,0.027041,0.014789
600458,0.000000,0.052100
600459,0.000000,0.017890
600460,0.000000,0.019591
600461,0.000000,0.057725
600462,0.085477,0.021455
600463,0.000000,0.016942
600466,0.018445,0.064792
600467,-0.000891,0.015362
600468,0.000000,0.026703
600469,0.016614,0.011765
600470,0.005475,0.019397
600475,0.000000,0.021873
600476,-0.004751,0.011371
600477,-0.001143,0.017143
600478,0.037623,0.021662
600479,0.000000,0.018476
600480,0.000000,0.026628
600481,0.000000,0.028802
600482,0.000000,0.023513
600483,0.022018,0.012830
600485,0.000000,0.024424
600486,0.000000,0.026247
600487,0.036402,0.046402
600488,-0.004880,0.018986
600489,0.030273,0.020393
600490,-0.002713,0.019603
600491,-0.002606,0.018776
600493,0.013108,0.015284
600495,-0.006969,0.043181
