Date,Open,High,Low,Close,Volume
2013-07-24,  24.68,  25.27,   23.8,24.45,48687300
2013-07-23,  24.78,  24.78,   23.6,24.24,40878100
2013-07-22,  22.22,  24.32,  22.22,24.32,64629800
2013-07-19,  23.11,  24.75,  21.85,22.11,52122400
2013-07-18,   23.8,   23.9,  23.19,23.26,38060300
2013-07-17,   22.6,   24.9,   22.6,24.03,64722300
2013-07-16,     23,  23.58,  22.15,22.71,50426700
2013-07-15,  22.29,  23.86,   21.8,23.54,62256300
2013-07-12,     22,  23.46,   21.6,22.35,77170100
2013-07-11,     20,  21.33,  19.43,21.33,86245800
2013-07-10,  19.39,  19.39,  19.39,19.39, 2766900
2013-07-09,  17.63,  17.63,  17.63,17.63,       0
2013-07-08,  17.63,  17.63,  17.63,17.63,       0
2013-07-05,  17.63,  17.63,  17.63,17.63,       0
2013-07-04,  17.63,  17.63,  17.63,17.63,       0
2013-07-03,  17.63,  17.63,  17.63,17.63,       0
2013-07-02,  17.63,  17.63,  17.63,17.63,       0
2013-07-01,  17.63,  17.63,  17.63,17.63,       0
2013-06-28,  16.59,  17.83,  16.03,17.63,84475100
2013-06-27,  16.61,  17.18,  15.65,16.21,75911500
2013-06-26,  14.38,   15.8,  14.38, 15.8,53192500
2013-06-25,  13.58,  14.67,  12.58,14.36,49337400
2013-06-24,   15.3,  15.35,   13.9, 13.9,38111300
2013-06-21,   14.9,  15.97,  14.31,15.44,36098200
2013-06-20,   16.1,  16.71,  15.37,15.52,39556400
2013-06-19,     16,  16.47,  15.75,16.18,25942900
2013-06-18,  15.95,  16.62,   15.5,16.26,42669900
2013-06-17,   15.7,  16.84,   15.7,15.98,76840700
2013-06-14,  14.51,  15.82,  14.43,15.82,53360300
2013-06-13,   14.3,  14.62,   13.6,14.38,31871000
2013-06-12,   14.8,   14.8,   14.8, 14.8,       0
2013-06-11,   14.8,   14.8,   14.8, 14.8,       0
2013-06-10,   14.8,   14.8,   14.8, 14.8,       0
2013-06-07,  15.72,  15.83,  14.27, 14.8,39036300
2013-06-06,     16,  16.27,   15.5,15.62,28070500
2013-06-05,   14.9,  16.15,  14.77,16.08,43895100
2013-06-04,  15.47,  16.34,  14.61,14.88,37177100
2013-06-03,   15.6,  16.01,   15.3,15.47,26661600
2013-05-31,   15.3,  16.22,  15.11,15.87,42313300
2013-05-30,   14.6,  15.87,  14.45, 15.5,59451900
2013-05-29,  14.23,  14.65,  14.13,14.48,34789600
2013-05-28,  14.64,  14.95,     14,14.18,40791200
2013-05-27,  14.49,  15.33,  14.25, 14.8,50448000
